date,high,low,close
4/24/2025,30287024.57,29222782.57,29559834.4
4/25/2025,30447134.99,29383392.15,30210316.16
4/26/2025,30058973.9,30058973.9,30058973.9
4/27/2025,30984125.32,30149002.48,30192511.9
4/28/2025,30545857.36,29573002.77,30265590.17
4/29/2025,30701555.41,30005062.47,30005062.47
4/30/2025,30196210.29,29069471.69,29759467.28
5/1/2025,30970518.78,29746502,30547660.07
5/2/2025,30706567.54,29864069.16,30239952.34
5/3/2025,30351924.51,30022650.5,30341645.11
5/4/2025,30420546.21,29924098.42,29924098.42
5/5/2025,30053054.1,29368619.67,30001716.77
5/6/2025,29879389.08,28936406.54,29728952
5/7/2025,30467815.11,29561463.71,30005478.84
5/8/2025,36113910.34,29902025.94,36088317.56
5/9/2025,39880137.64,36387654.74,38639153.96
5/10/2025,42637207.17,38554985.33,42637207.17
5/11/2025,42734947.89,40756499.88,41393452.14
5/12/2025,43030966.9,40779005.2,41558648.84
5/13/2025,44723697.9,40265123.81,44723697.9
5/14/2025,44686591.55,42668218.07,43003063.46
5/15/2025,43636615.03,41228210.17,42080922.13
5/16/2025,43232873.77,41998215.31,41998215.31
5/17/2025,41898210.86,40556790.27,40618609.98
5/18/2025,42489020.81,39534663.61,40147238.76
5/19/2025,41447116.58,38975834.02,41143651.25
5/20/2025,42150173.1,40474359.67,41154180.29
5/21/2025,42687134.31,40540453.69,41338164.33
5/22/2025,43652971.24,41846769.08,43231792.98
5/23/2025,44348864.02,41276607.19,41291201.54
5/24/2025,41798862.71,40937525.1,41127770.33
5/25/2025,41378527.62,40299419.28,41378527.62
5/26/2025,41964672.21,41217288.33,41642070.63
5/27/2025,43894243.08,41077199.29,43385423.8
5/28/2025,43543854.66,42800251.52,43133755.77
5/29/2025,45327530.27,43017687.7,43266266.24
5/30/2025,43099284.84,41555355.18,41555355.18
5/31/2025,41645603.94,40880128.34,41528954.02
6/1/2025,41611045.68,40670321.95,41547682.05
6/2/2025,42059750.8,40391894.18,42059750.8
6/3/2025,43095120.08,42332240.84,42612880.86
6/4/2025,43458758.85,42390535.28,42518879.57
6/5/2025,42857304.32,39473102.79,39490648.26
6/6/2025,41085052.27,39331647.48,40540899.17
6/7/2025,41449864.46,40342652.7,41449864.46
6/8/2025,41401039.11,40808421.98,40968520.39
6/9/2025,43562725.82,40485744.47,43562725.82
6/10/2025,45271602.44,43459570.77,45271602.44
6/11/2025,46642842.95,44865454.63,44887986.24
6/12/2025,45169860.2,42792389.13,42843259.65
6/13/2025,43004381.78,40340791.49,41942355.22
6/14/2025,42017095.01,40718868.62,41177759.46
6/15/2025,41619594.67,40760237.46,41465086.07
6/16/2025,43514677.18,41425429.34,41886271.71
6/17/2025,42398395.08,40194843.08,40959886.68
6/18/2025,41448624.6,40515456.59,41294448.66
6/19/2025,41683676.7,40772509.83,41331344.27
6/20/2025,41906420.75,39256536.37,39256536.37
6/21/2025,40130462.71,37566116.66,37566350.67
6/22/2025,37723460.76,35746500.6,36605157.43
6/23/2025,39703503.79,36521876.13,39703503.79
6/24/2025,40316357.27,39178905.96,39740756.22
6/25/2025,40091729.22,39305973.85,39371548.11
6/26/2025,40536264.23,39054106.08,39267416.7
6/27/2025,39849403.61,38894029.38,39345476.96
6/28/2025,39693380.64,39232752.98,39631628.68
6/29/2025,40617300.7,39430729.21,40617300.7
6/30/2025,40863399.82,39677749.16,40254273.88
7/1/2025,40311414.27,38910442.95,38910442.95
7/2/2025,42095672.74,38164578.9,42006517.27
7/3/2025,42681041.99,41559763.56,42115323.93
7/4/2025,42062178.51,40196183.76,40837465.46
7/5/2025,40937950.29,40413777.12,40818327
7/6/2025,41925420.29,40664092.17,41846402.66
7/7/2025,41925937.05,41097324.55,41415296.69
7/8/2025,42694209.72,41062348.85,42459434.77
7/9/2025,45115166.5,42160949.23,45115166.5
7/10/2025,48315893.16,44854260.78,48201067.88
7/11/2025,49014626.22,47556850.23,47867941.04
7/12/2025,48309172.7,47275533.32,47664606.69
7/13/2025,48621608.21,47759784.76,48103322.18
7/14/2025,49902435.95,48233522.85,49051519.32
7/15/2025,50331494.35,48066591.38,50295437.96
7/16/2025,55150408.17,50733442.95,54767677.32
7/17/2025,56722636.61,54355583.38,56700964.73
7/18/2025,59857361.42,56891701.98,57834906.66
7/19/2025,58636311.01,57727341.47,58468428.35
7/20/2025,62232578.86,58671837.64,61248832.74
7/21/2025,62686582.15,60762113.37,61557682.34
7/22/2025,61873890.66,59557975.64,60510403.31
7/23/2025,61024507.87,58144078.1,58841752.6
7/24/2025,61016509.11,57519300.81,60718785.88
7/25/2025,60496021.03,60496021.03,60496021.03
7/26/2025,61587521.46,60652910.93,61397378.73
7/27/2025,63043345.01,61225429.64,63043345.01
7/28/2025,64309543.28,62004634.73,62053050.08
7/29/2025,63561884.96,61407483.37,62073326.9
7/30/2025,62788657.24,61442765.34,61940566.29
7/31/2025,63750116.05,61177896.82,61177896.82
8/1/2025,61212786.97,56685665.17,56685665.17
8/2/2025,57818363.02,55335506.03,55899376.64
8/3/2025,57434072.63,55663167.08,57434072.63
8/4/2025,61059964.48,57678531.13,61059964.48
8/5/2025,60820583.01,58341355.44,58988883.41
8/6/2025,60211971.91,58541165.4,60194401.82
8/7/2025,63876392.65,59688143.4,63876392.65
8/8/2025,66008857.03,63393275.61,65467153.6
8/9/2025,69654769.91,65235354.92,69304107.62
8/10/2025,69916277.97,67881154.73,68967672.07
8/11/2025,70607855.97,68140871.17,68929482.38
8/12/2025,74845953.85,68986306.39,74440239.82
8/13/2025,76775435.15,74428205.99,76775435.15
8/14/2025,76878393.05,72354404.48,73390406.88
8/15/2025,75203354.66,71040903.49,72654873.86
8/16/2025,72740486.04,71108845.56,71746527.43
8/17/2025,73945969.47,71487470.96,73286365.01
8/18/2025,72672165.95,68861500.89,70457415.65
8/19/2025,70478694.2,67310744.93,67310744.93
8/20/2025,71021834.39,66447431.51,71021834.39
8/21/2025,70588352.08,69073159.93,69407554.81
8/22/2025,78734905.45,69061333.33,78027706.18
8/23/2025,78395232.83,76218818.07,77615973.98
8/24/2025,79967678.03,76920741.05,77623967.17
8/25/2025,77567274.83,71117620.06,71479569.39
